time,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time.1,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time.2,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time.3,Pleasure,Arousal,Dominance,time.4,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,,,,,,,1722274897.2456,0.494632,0.367925,0.0,0.357695,0.341044,0.422616,0.42438,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722274907.3055,0.573974,0.396387,0.0,0.340731,0.341649,0.452598,0.542228,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722274917.4086,0.652066,0.683088,0.0,0.448256,0.592826,0.734452,0.364505,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722274927.4953,0.471156,0.499728,0.0,0.283585,0.355921,0.452804,0.196233,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722274937.5841,0.124222,0.41204,0.0,0.195942,0.204666,0.363472,-1.0,True,True,True,True,True,False,,,,,,,,,
,,,,,,,,,,,1722274947.677,0.325924,0.608279,0.0,0.287878,0.287238,0.471106,0.334213,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722274957.7552,0.498664,0.569832,0.0,0.323765,0.302449,0.415382,0.513965,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722274967.842,0.57051,0.403916,0.0,0.28213,0.294281,0.405326,0.675497,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722274977.9514,0.63694,0.373496,0.0,0.336167,0.41383,0.494063,0.714384,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722274988.0324,0.69369,0.46446,0.0,0.379869,0.456064,0.706884,0.517517,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722274998.118,0.584786,0.296141,0.0,0.30352,0.327919,0.371505,0.430764,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275008.1983,0.535984,0.281821,0.0,0.384726,0.348128,0.604664,0.227331,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275018.3073,0.409384,0.571271,0.0,0.345135,0.320226,0.597132,0.289951,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275028.3672,0.432834,0.722466,0.0,0.341843,0.284125,0.665601,0.287884,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275038.4489,0.346211,0.694984,0.0,0.36125,0.266267,0.539962,0.2889,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275048.5638,0.472421,0.616506,0.0,0.43304,0.379523,0.625332,0.320723,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275058.6533,0.297568,0.707616,0.0,0.305665,0.20761,0.460808,0.318523,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275068.7251,0.269985,0.552547,0.0,0.241944,0.164508,0.319817,0.275071,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275078.8116,0.468282,0.727079,0.0,0.337572,0.292456,0.578307,0.197413,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275088.9139,0.556996,0.654763,0.0,0.432406,0.416029,0.518315,0.233791,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275098.9581,0.440735,0.690442,0.0,0.361918,0.249925,0.37992,0.309185,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275109.0561,0.476191,0.626002,0.0,0.295439,0.236665,0.373996,0.455433,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275119.1431,0.488847,0.37142,0.0,0.30359,0.224933,0.359924,0.487663,True,True,True,True,True,True,,,,,,,,,
,,,,,,,,,,,1722275129.2297,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,False,False,False,False,,,,,,,,,
,,,,,,,,,,,1722275139.3003,0.299321,0.553574,0.0,0.336714,0.319916,0.580443,0.306325,True,True,True,True,True,True,,,,,,,,,
